年,一级品类,二级品类,三级品类,品牌,商品名,商品ID,销量(件),销售额(元),均价(元)
2020,彩妆香水,面部彩妆,粉底液,红地球 Red Earth,日本进口red earth红地球养肤粉底液遮瑕保湿持久官网平价正品,628696736856,12500,1725000,138
2020,彩妆香水,面部彩妆,粉底液,ZELENS,ZELENS青春养肤粉底液水光肌遮瑕保湿持久水润干皮亲妈正品Youth,586250232122,5179,1724902,333.1
2020,彩妆香水,面部彩妆,粉底液,美宝莲 Maybelline,美宝莲fitme粉底液遮瑕保湿持久控油皮哑光李佳琦推荐官方旗舰店,570855441167,18703,1716834,91.8
2020,彩妆香水,面部彩妆,粉底液,PT,铂金翻盖小蘑菇头气垫美颜CC霜粉底液霜膏保湿遮瑕持久裸妆提亮,573129444112,35818,1703018,47.5
2020,彩妆香水,面部彩妆,粉底液,珂芙缦 Covermark,日本Covermark傲丽进口中草粉底bb霜素颜保湿隔离粉霜遮瑕30g,586656520937,4345,1690116,389
2020,彩妆香水,面部彩妆,粉底液,卡姿兰 Carslan,卡姿兰粉底液遮瑕保湿持久油皮控油李佳琦推荐养肤学生平价bb霜膏,609238651963,18121,1689404,93.2
2020,彩妆香水,面部彩妆,粉底液,花西子 Florasis,花西子养肤底妆套装/妆前乳粉底液组合持久底妆初学者淡妆系列,628208250085,4104,1676016,408.4
2020,彩妆香水,面部彩妆,粉底液,肌琳莎,肌琳莎粉底液持久保湿控油遮暇奶油肌bb霜,615432423980,83737,1673648,20
2020,彩妆香水,面部彩妆,粉底液,Blank Me,【双旦礼遇】Blank ME小银盒气垫bb霜粉底霜 持久不脱妆混油皮,630621037439,8365,1664635,199
2020,彩妆香水,面部彩妆,粉底液,植妍芬,【植妍芬】玻尿酸补水保湿面霜水乳学生旗舰店正品护肤套装,615083679926,13851,1659699,119.8
2020,彩妆香水,面部彩妆,粉底液,芭比波朗 Bobbi Brown,BOBBI BROWN芭比波朗虫草气垫 干皮养肤 水光透亮保湿 倪妮同款,618980625569,3537,1649471,466.3
2020,彩妆香水,面部彩妆,粉底液,Blank Me,【雪梨粉丝节盛典】Blank ME小银盒带替换粉底霜混油皮专属雾面妆,622730749530,5000,1645000,329
2020,彩妆香水,面部彩妆,粉底液,ZFC,ZFC名师水感亲肤粉底膏 遮瑕膏控油不易脱妆粉底液保湿彩妆,555896237530,11292,1637137,145
2020,彩妆香水,面部彩妆,粉底液,INTEGRATE,日本资生堂INTEGRATE完美意境粉底霜持久控油遮瑕,627095504192,15000,1625000,108.3
2020,彩妆香水,面部彩妆,粉底液,兰蔻 Lancome,兰蔻持妆无瑕粉妆条 粉底棒 持久遮瑕 自然磨皮不卡粉,573434218457,4255,1616900,380
2020,彩妆香水,面部彩妆,粉底液,露华浓 Revlon,露华浓粉底液24小时持久遮瑕保湿控油干皮油皮奶油肌BB霜水润养肤,614941633291,17142,1611808,94
2020,彩妆香水,面部彩妆,粉底液,韩格,网红奶油肌琳莎粉底液遮瑕保湿持久控油bb霜学生平价正品抖音同款,617513552814,56535,1610028,28.5
2020,彩妆香水,面部彩妆,粉底液,纪梵希 Givenchy,【直播专享】纪梵希高定恒颜持妆粉底液 贴心粉底液 遮瑕水润自然,604055323502,3606,1604670,445
2020,彩妆香水,面部彩妆,粉底液,缇尔泊丽 Charlotte Tilbury,CharlotteTilbury CT轻盈无瑕粉底液 美白遮瑕裸妆持久不脱妆,601083907102,4189,1599690,381.9
2020,彩妆香水,面部彩妆,粉底液,W.Lab,wlab超模粉底液W.Lab遮瑕保湿持久控油BB霜w官方旗舰店干油皮双11,624248966394,20619,1593726,77.3
2020,彩妆香水,面部彩妆,粉底液,three,THREE凝光水粉霜30ml 素肌陶瓷粉底液干油皮控油遮瑕保湿持久正品,572572138103,3610,1581803,438.2
2020,彩妆香水,面部彩妆,粉底液,韩熙贞 Hexze,韩熙贞小金钻001粉底液女遮瑕强保湿控油持久裸妆bb霜学生平价,577934435200,31444,1576994,50.2
2020,彩妆香水,面部彩妆,粉底液,BH,2瓶|粉底液遮瑕控油保湿持久干皮女学生平价bb霜油皮李佳琦推荐,603601128872,30469,1574242,51.7
2020,彩妆香水,面部彩妆,粉底液,ZELENS,李佳琦 ZELENS青春养肤粉底液持久保湿干皮亲妈遮瑕水光肌,611010052679,5589,1567288,280.4
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,【10.21提前加购】阿玛尼樱花粉气垫精华粉底液保湿提亮不脱妆,574094916195,2819,1567220,555.9
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,【正品】Armani/阿玛尼红气垫精华粉底液持久粉芯替换装,612465676000,4118,1564840,380
2020,彩妆香水,面部彩妆,粉底液,Pat Mcgrath Labs,pat mcgrath labsPAT SP持妆粉底液 遮瑕保湿持妆控油自然奶油肌,610037468565,2694,1528574,567.4
